middag,dinner
ladda,to charge (battery)
recept,prescription
gurka,cucumber
tomat,tomato
lök,onion
morot,carrot
paprika,bell pepper
kål,cabbage
broccoli,brocolli
sallad,lettuce/salad
banan,banana
apelsin,orange
päron,pear
jordgubbe,strawberry
blåbär,blueberries
citron,lemon
kiwi,kiwi
ananas,pineapple
kyckling,chicken
lax,salmon
korv,sausage
bacon,bacon
skinka,ham
fläsk,pork
nötkött,beef
köttbullar,meatballs
fågel,bird
ost,cheese
smör,butter
yoghurt,yoghurt
pasta,pasta
ris,rice
salt,salt
peppar,pepper
olja,oil
vinäger,vinegar
pizza,pizza
te,tea
vin,wine
ö,island
sten,stone
sand,sand
skog,forest
träd,tree
is,ice
snö,snow
storm,storm
bro,bridge
kyrka,church
museum,museum
sjukhus,hospital
norr,north
söder,south
öster,east
väster,west
karta,map
gräns,border
besöka,to visit
sak,thing,plural = saker
rolig,fun
bestå,to last
samtal,conversation
ner,down
försöka,to try
klok,wise/clever
en kund,a customer
att bygga,to build
erbjuda,to offer
mening,meaning
att måla,to paint
glass,ice cream
svamp,mushroom
måne,moon
halv,half
nära till,close to
sovrum,bedroom
badrum,bathroom
soppa,soup
hamn,harbor/port
baka,to bake
sill,herring
ljus,light
på grund av,because of
utanför,outside(of)
njuta av,enjoy
glömma,forget
bestämma,to decide
tycka om,to like
kylskåp,refrigerator
vinka,to wave
ringa,to call (on phone)
ljud,noise
trappa,stairs
komedi,comedy
trädgård,garden
resa,trip
spara,save (like money)
packa,to pack
dröm,dream
klart,clear
att sova,to sleep
snäll,kind,plural = snälla
ute,outside
dit,there (direction)
om,if/about
hända,happen
svara,answer
leka,to play, used for children playing
ganska,quite
orolig,worried
döda,to kill
sluta,to stop
gilla,like
kontor,office
chef,boss
möjlig,possible
helg,weekend
varm,warm
brand,fire
människa,person/human
bo,live
börja,start
kalla,call
ledare,leader
tusen,thousand
parad,parade
krona,crown(currency)
kamera,camera
demokrati,democracy
polis,police
bensin,gasoline
pojke,boy
tidning,newspaper
pris,price
konstnär,artist
mus,mouse
ren,reindeer
ko,cow
get,goat
smak,taste
kvar,remaining
älv,river
vik,bay
tall,pine tree
björk,birch tree
att somna,to fall asleep
använda,to use
bakom,behind
bättre,better
examen,graduation/exam
universitet,university
praktik,internship
intervju,interview
klimat,climate
sortera,to sort
el,electricity
energi,energy
ekologisk,organic
läkare,doctor
gym,gym
simma,swim
snabbmat,fast food
trasig,broken
säker,sure/certain
plötsligt,suddently
oftare,more often
koka,to cook,basic cooking verb (especially for boiling)
hit,here (direction)
köra,to drive
hitta,find
fler,more
strax,soon
kropp,body
